Whichyear,ExpressFeeling,Gender,Age,Yourlocation,Relationshipstatus,Areyouhappyinancialy,succeededInEducationalinstitution,Understandingwithfamily,feelingpressureinyourstudy,satisfiedwithacademicresult,happywithlivingplace,supportsyouyouracademiclife,usedanysocialmedia,haveinferioritycomplex,satisfiedwithmeal,feelingSick/healt issues,donerecreationalactivitytoday,sleepAtNight,feelingrightnow
4th year,94,Male,23,Department,Single,Yes,5,Good,No,Yes,Yes,Family,Yes,No,Neutral,No,Yes,7,Very good
4th year,65,Male,23,Hall-Mess,Single,Yes,5,Good,Yes,No,Yes,Family,Yes,No,Yes,No,Yes,7,Normal
4th year,97,Male,23,Hall-Mess,Single,Yes,4,Good,No,Yes,Yes,Friends,Yes,No,Neutral,No,No,9,Very good
4th year,24,Male,23,Hall-Mess,Single,Yes,3,Bad,Yes,No,No,Family,Yes,No,No,Yes,No,3,Bad
4th year,84,Male,23,Hall-Mess,Single,Yes,4,Good,No,Yes,Yes,Friends,Yes,No,Neutral,No,Yes,10,Good
4th year,93,Male,23,Department,Single,Yes,4,Good,No,No,Yes,Family,Yes,No,Neutral,No,Yes,7,Very good
4th year,73,Male,23,Department,Single,Yes,5,Normal,No,Yes,Yes,Family,Yes,No,Yes,No,Yes,9,Good
4th year,29,Male,23,Department,Single,Yes,1,Normal,Yes,No,Yes,Family,Yes,Yes,No,Yes,No,3,Bad
4th year,92,Male,23,Department,Single,Yes,3,Good,No,No,Yes,Family,Yes,No,Neutral,No,Yes,9,Very good
4th year,65,Male,23,Hall-Mess,Single,Yes,4,Normal,Yes,Yes,No,Family,Yes,Maybe,Neutral,Yes,No,6,Normal
4th year,76,Male,23,Playground,Single,Yes,3,Normal,No,No,Yes,Friends,Yes,No,Neutral,No,Yes,8,Good
4th year,86,Male,23,Department,Single,Yes,5,Normal,No,No,Yes,Family,Yes,No,Neutral,No,No,10,Good
4th year,14,Male,23,Playground,Single,Yes,3,Good,Yes,Yes,Yes,Friends,Yes,Maybe,No,No,Yes,3,Very bad
4th year,60,Male,23,Home,Single,No,4,Normal,No,Yes,Yes,Family,Yes,Maybe,Yes,Yes,No,8,Normal
4th year,64,Male,23,Hall-Mess,Single,Yes,4,Good,Yes,Yes,Yes,Friends,Yes,Maybe,Yes,No,No,6,Normal
4th year,49,Male,23,Department,Single,No,3,Bad,Yes,Yes,No,Friends,Yes,Yes,Yes,No,No,5,Bad
4th year,41,Male,23,Department,Single,Yes,3,Good,Yes,Yes,Yes,Family,Yes,Maybe,Neutral,Yes,No,4,Bad
4th year,91,Male,23,Department,Single,Yes,3,Good,No,Yes,Yes,Friends,Yes,No,Neutral,No,Yes,10,Very good
4th year,56,Male,23,Home,Single,Yes,5,Normal,Yes,No,No,Family,Yes,No,Yes,No,No,6,Normal
4th year,20,Male,23,Playground,Single,No,3,Good,Yes,Yes,No,Family,Yes,Yes,Yes,No,No,7,Bad
4th year,68,Male,23,Home,Single,No,3,Normal,No,No,Yes,Family,Yes,Maybe,Yes,Yes,No,7,Normal
4th year,8,Male,23,Playground,Single,No,2,Normal,Yes,Yes,Yes,Family,Yes,Maybe,No,No,Yes,3,Very bad
4th year,70,Male,23,Department,Single,Yes,5,Normal,Yes,No,Yes,Family,Yes,No,Yes,No,Yes,7,Normal
