Whichyear,feelingrightnow,ExpressFeeling,Gender,Age,Yourlocation,Relationshipstatus,Areyouhappyinancialy,succeededInEducationalinstitution,Understandingwithfamily,feelingpressureinyourstudy,satisfiedwithacademicresult,happywithlivingplace,supportsyouyouracademiclife,usedanysocialmedia,haveinferioritycomplex,satisfiedwithmeal,feelingSick/healt issues,donerecreationalactivitytoday,sleepAtNight
4th year,Normal,68,Male,23,Playground,Single,Yes,4,Good,Yes,No,Yes,Friends,Yes,Maybe,Neutral,Yes,No,6
4th year,Normal,59,Male,23,Hall-Mess,Single,No,3,Good,Yes,No,Yes,Family,Yes,Maybe,Yes,Yes,No,8
4th year,Bad,41,Male,23,Playground,Single,Yes,3,Bad,Yes,No,No,Friends,Yes,No,Yes,No,No,5
4th year,Very good,92,Male,23,Department,Single,Yes,5,Good,No,Yes,Yes,Friends,Yes,No,Neutral,No,No,9
4th year,Bad,21,Male,23,Department,Single,No,3,Bad,Yes,No,No,Friends,Yes,No,No,Yes,Yes,3
4th year,Good,88,Male,23,Hall-Mess,Single,Yes,4,Good,No,Yes,Yes,Friends,Yes,No,Yes,No,Yes,8
4th year,Very bad,10,Male,23,Department,Single,No,2,Bad,Yes,No,Yes,Friends,Yes,No,Yes,No,No,6
4th year,Normal,53,Male,23,Playground,Single,No,4,Good,No,No,Yes,Family,Yes,Maybe,Neutral,No,No,6
4th year,Good,75,Male,23,Hall-Mess,Single,Yes,4,Normal,No,No,Yes,Family,Yes,No,Neutral,No,Yes,10
4th year,Good,74,Male,23,Department,Single,Yes,3,Good,No,Yes,Yes,Friends,Yes,No,Neutral,No,No,7
4th year,Good,78,Male,23,Department,Single,Yes,3,Normal,No,Yes,Yes,Friends,Yes,No,Neutral,No,Yes,10
4th year,Good,83,Male,23,Hall-Mess,Single,Yes,4,Normal,No,No,Yes,Family,Yes,No,Neutral,No,Yes,8
4th year,Very good,100,Male,23,Playground,Single,Yes,4,Good,No,Yes,Yes,Friends,Yes,No,Neutral,No,Yes,10
4th year,Good,84,Male,23,Hall-Mess,Single,Yes,5,Normal,No,Yes,Yes,Friends,Yes,No,Neutral,No,Yes,7
4th year,Very good,100,Male,23,Hall-Mess,Single,Yes,5,Good,No,No,Yes,Family,Yes,No,Neutral,No,No,10
4th year,Bad,31,Male,23,Home,Single,No,1,Bad,Yes,Yes,No,Friends,Yes,No,Yes,Yes,No,5
